SRC_ID1, SRC_ID2, DEST_ID
183,1,45
167,1,48
106,2,51
93,1,56
186,2,58
85,1,59
16,2,63
83,1,67
60,1,75
161,2,80
86,2,82
195,3,89
8,3,95
183,2,100
152,1,104
75,1,105
178,1,109
17,3,114
102,1,116
93,2,121
16,3,128
30,2,131
154,2,136
135,3,140
117,2,146
86,3,154
155,4,156
15,3,163
61,2,166
174,4,168
167,3,175
65,4,180
102,2,185
109,4,190
106,4,193
139,4,196
44,2,198
105,4,208
135,4,213
103,4,218
5,4,222
113,4,225
155,5,229
8,5,232
147,5,241
129,3,247
54,1,251
102,3,255
115,3,259
77,5,264
186,5,269
36,5,275
56,1,279
27,1,287
137,1,290
92,1,291
117,4,295
161,5,300
155,6,305
195,6,310
187,1,317
2,1,320
190,4,327
15,5,329
174,6,333
11,1,337
68,1,343
115,4,352
75,4,357
80,4,365
109,6,371
63,1,376
83,5,381
44,4,386
146,6,390
197,1,394
160,6,405
5,6,410
137,2,415
195,7,418
86,6,423
84,2,434
174,7,440
53,7,441
67,7,442
8,7,445
147,7,446
116,5,450
167,6,454
102,5,460
108,2,465
93,6,469
30,6,475
198,2,482
55,7,485
41,2,487
17,7,494
77,7,498
109,7,500
16,7,501
197,2,505
9,6,508
60,6,513
1,4,516
137,3,520
187,3,524
38,7,527
10,6,532
2,3,540
13,7,547
86,7,550
183,7,558
147,8,561
15,7,562
140,3,564
54,4,573
82,5,579
12,1,584
111,3,589
77,8,602
186,8,607
62,3,612
44,6,617
36,8,622
27,4,625
1,5,629
48,4,632
30,7,637
118,1,642
121,1,648
103,8,656
161,8,661
113,8,666
67,9,671
9,7,674
127,7,678
100,4,680
151,7,683
15,8,688
188,2,692
31,5,699
61,7,702
190,7,707
35,1,710
130,7,715
115,7,720
76,7,724
136,9,729
167,8,738
56,5,744
109,9,749
62,4,753
93,8,758
120,2,763
83,8,768
64,5,771
84,5,776
169,5,781
5,9,787
67,10,792
195,10,798
8,10,803
13,9,808
54,6,828
145,8,832
174,10,837
108,5,842
179,5,847
115,8,851
122,2,856
129,8,860
72,10,865
186,10,870
78,7,881
93,9,889
106,10,894
25,6,899
85,9,904
135,10,909
138,6,914
121,3,919
118,3,926
123,6,932
161,10,937
183,10,941
195,11,946
9,9,950
153,1,958
173,1,963
47,8,966
174,11,969
65,11,972
61,9,976
111,6,979
158,6,984
122,3,989
63,6,994
26,4,999
12,4,1004
75,9,1014
194,2,1018
95,1,1023
93,10,1033
62,6,1037
104,4,1042
126,4,1045
187,7,1050
121,4,1055
103,11,1058
59,4,1067
10,10,1072
183,11,1077
195,12,1081
81,1,1086
13,11,1089
153,2,1093
191,1,1098
43,7,1103
84,7,1108
127,10,1113
65,12,1114
45,10,1122
188,5,1126
162,1,1131
140,7,1136
61,10,1141
55,12,1151
129,10,1153
159,6,1158
76,10,1164
29,2,1174
150,1,1183
106,12,1188
50,12,1192
177,1,1199
97,1,1204
121,5,1210
86,12,1215
4,12,1218
155,13,1222
118,5,1227
13,12,1232
164,1,1237
113,12,1240
28,4,1245
81,2,1250
84,8,1255
111,7,1260
71,8,1265
31,8,1270
48,8,1274
179,7,1279
2,8,1284
188,6,1293
100,8,1298
190,11,1303
140,8,1307
55,13,1320
130,11,1325
40,2,1330
70,1,1338
23,4,1343
110,5,1348
29,3,1353
66,4,1358
192,1,1363
120,6,1367
82,10,1370
93,12,1374
74,1,1379
175,2,1384
134,7,1389
38,13,1394
125,1,1399
142,1,1405
118,6,1410
147,14,1415
60,12,1420
149,1,1425
170,2,1430
10,12,1435
174,14,1440
185,8,1445
111,8,1449
25,9,1454
179,8,1459
65,14,1464
101,2,1469
169,9,1474
1,10,1479
145,12,1484
162,3,1489
190,12,1494
19,6,1499
152,12,1504
122,6,1514
80,12,1519
141,1,1524
96,9,1529
70,2,1534
99,4,1539
171,3,1544
66,5,1549
196,3,1554
98,2,1559
85,13,1564
36,14,1569
177,3,1574
134,8,1579
180,8,1584
67,15,1589
154,13,1594
118,7,1599
103,14,1604
143,10,1609
151,13,1614
27,10,1619
81,4,1624
191,4,1629
44,12,1634
181,4,1639
71,10,1644
46,2,1649
111,9,1654
18,4,1659
112,2,1664
138,10,1669
145,13,1674
178,13,1679
159,7,1684
72,15,1689
11,10,1699
3,10,1704
115,13,1709
107,3,1714
23,6,1719
193,4,1724
29,5,1729
166,6,1734
182,5,1739
32,15,1744
93,14,1749
74,3,1754
97,4,1759
62,9,1764
54,11,1769
160,15,1774
20,3,1779
90,4,1784
153,6,1789
148,14,1794
10,14,1799
173,6,1804
191,5,1809
92,11,1814
69,5,1819
71,11,1824
65,16,1829
111,10,1834
84,11,1839
15,15,1844
68,11,1849
89,4,1855
178,14,1860
159,8,1865
52,6,1870
130,14,1880
116,14,1885
165,7,1890
141,3,1895
91,14,1900
76,14,1905
29,6,1910
144,6,1915
104,7,1920
192,4,1925
126,7,1930
121,7,1935
79,4,1940
37,4,1945
34,7,1949
30,15,1954
4,16,1959
8,17,1964
183,16,1969
161,16,1974
195,17,1979
151,15,1984
164,5,1989
22,12,1994
168,6,1999
158,11,2004
124,7,2009
48,12,2014
46,4,2019
31,12,2024
18,6,2029
15,16,2034
199,6,2039
45,15,2044
19,7,2049
178,15,2054
190,15,2059
33,7,2064
128,4,2069
24,5,2074
40,6,2079
3,12,2084
141,4,2090
96,12,2095
78,14,2100
150,6,2105
196,6,2110
192,5,2115
126,8,2120
93,16,2125
109,17,2130
134,11,2135
97,6,2140
30,16,2145
131,11,2150
28,7,2155
183,17,2160
67,18,2166
147,18,2171
170,6,2176
25,13,2181
146,17,2186
181,7,2191
137,13,2196
41,12,2201
65,18,2206
46,5,2211
189,7,2216
1,14,2221
58,6,2226
89,6,2231
110,8,2236
12,9,2241
152,16,2246
197,12,2251
73,12,2256
186,18,2260
17,18,2265
115,16,2270
107,6,2275
76,16,2279
167,17,2284
196,7,2288
106,18,2293
121,9,2298
93,17,2303
109,18,2308
34,9,2313
105,18,2318
86,18,2323
153,7,2328
195,1,2
155,1,1
8,1,4
147,1,6
65,1,9
17,1,10
106,1,11
55,1,14
77,1,15
32,1,16
139,1,18
16,1,20
146,1,21
36,1,22
103,1,32
160,1,33
86,1,36
195,2,38
155,2,39
15,1,40
8,2,42
147,2,43
174,2,44
17,2,49
136,2,50
109,2,52
77,2,54
36,2,61
30,1,62
154,1,66
148,1,68
156,2,71
135,2,73
117,1,76
172,2,79
9,1,81
113,2,84
45,1,86
155,3,87
15,2,90
190,1,93
67,3,96
116,1,108
145,1,110
91,1,113
55,3,118
109,3,119
106,3,122
139,3,124
44,1,129
85,2,130
148,2,132
105,3,134
72,3,137
156,3,142
5,3,144
161,3,147
60,2,148
113,3,152
13,3,155
195,4,158
190,2,160
8,4,161
67,4,165
147,4,169
178,2,174
116,2,177
91,2,179
76,2,182
78,1,184
136,4,187
93,3,189
77,4,192
80,2,194
16,4,197
30,3,200
72,4,201
85,3,203
4,4,206
146,4,209
156,4,211
127,3,214
161,4,216
172,4,219
9,3,220
45,3,223
86,4,226
160,4,227
10,3,233
190,3,235
61,3,236
88,3,238
174,5,240
130,3,243
167,4,244
178,3,245
116,3,246
31,1,250
145,3,253
91,3,254
76,3,257
136,5,258
80,3,262
93,4,263
109,5,267
55,5,268
30,4,271
50,5,274
72,5,277
146,5,281
148,4,282
22,1,284
38,5,285
47,3,286
9,4,292
60,4,294
103,5,298
5,5,302
160,5,303
48,1,307
86,5,308
13,5,312
151,4,314
43,1,318
67,6,319
8,6,323
61,4,326
71,1,328
147,6,331
100,1,336
178,4,338
130,4,341
167,5,342
65,6,345
102,4,347
145,4,348
96,1,350
82,3,353
76,4,355
108,1,358
91,4,360
32,6,362
93,5,363
186,6,367
106,6,368
158,1,372
185,1,373
50,6,377
14,1,378
72,6,382
154,5,383
134,1,387
156,6,388
131,1,392
4,6,396
105,6,398
92,2,401
161,6,404
148,5,406
172,6,409
135,6,411
117,5,414
13,6,416
73,1,420
138,2,421
187,2,424
45,5,426
10,5,428
151,5,430
2,2,432
43,2,433
42,2,436
15,6,438
71,2,444
129,5,449
11,2,451
140,2,453
3,2,455
96,2,457
78,4,459
91,5,463
31,3,467
76,5,470
115,5,472
179,2,473
85,6,476
65,7,479
136,7,480
83,6,484
159,1,489
56,3,491
32,7,495
106,7,496
50,7,502
72,7,503
62,2,507
180,2,511
148,6,512
73,2,514
117,6,517
48,3,521
143,3,522
45,6,523
64,3,526
156,7,528
151,6,529
146,7,533
105,7,534
84,3,536
43,3,537
161,7,541
5,7,542
61,6,545
135,7,548
103,7,549
67,8,551
190,6,554
53,8,557
152,6,560
129,6,563
11,3,567
145,6,568
178,6,569
78,5,572
102,6,574
68,3,577
75,6,580
108,3,581
80,6,585
179,3,586
198,3,592
14,3,594
55,8,599
72,8,605
50,8,606
56,4,610
